sample_id,point_id,trajectory_id,step_id,replicate_id,simulation_seed,changed_parameter,signed_normalized_step,runtime_ms,resumed,status,flags,error_class,error_message,netN,dieProbN,pOnMax,pOffMax,divProbP,dieProbP,cafDivBoost,ecSurvival,activProbF,divProbFP,activProbM,activProbE,recruitBias,lambdaCAF,stressStrength,lambdaStress,migrProbP,migrProbN,divProbFN,dieProbFN,dieProbFP,divProbMN,dieProbMN,divProbMP,dieProbMP,migrProbM,dieProbEN,divProbEP,dieProbEP,deactProbE,dieProbL,macrophageDaughterActivationBoost,endothelialDaughterDivisionBoost,fibroblastSignalBoost,fibroblastSignalCap,tumorEndothelialRadius,macrophageInteractionRadius,macrophageEndothelialBiasRadius,endothelialMacrophageRadius,fibroblastTumorRadius,clusterRadius,initialJnkPositiveTenths,initialMacrophageCount,initialLungCount,initPop,s0_jnkp_tumor_count,s0_jnkn_tumor_count,s0_active_ec_count,s0_inactive_ec_count,s0_active_macrophage_count,s0_inactive_macrophage_count,s0_active_fibroblast_count,s0_inactive_fibroblast_count,s0_total_population,s0_cumulative_tumor_divisions,s0_cumulative_tumor_deaths,s0_cumulative_fibroblast_divisions,s0_cumulative_fibroblast_deaths,s0_cumulative_macrophage_divisions,s0_cumulative_macrophage_deaths,s0_cumulative_ec_divisions,s0_cumulative_ec_deaths,s0_cumulative_chemo_tumor_divisions,s0_cumulative_chemo_tumor_deaths,s0_tumor_radius,s0_tumor_rms_spread,s0_jnkp_rim_fraction,s0_active_macrophage_ec_colocalization,s480_jnkp_tumor_count,s480_jnkn_tumor_count,s480_active_ec_count,s480_inactive_ec_count,s480_active_macrophage_count,s480_inactive_macrophage_count,s480_active_fibroblast_count,s480_inactive_fibroblast_count,s480_total_population,s480_cumulative_tumor_divisions,s480_cumulative_tumor_deaths,s480_cumulative_fibroblast_divisions,s480_cumulative_fibroblast_deaths,s480_cumulative_macrophage_divisions,s480_cumulative_macrophage_deaths,s480_cumulative_ec_divisions,s480_cumulative_ec_deaths,s480_cumulative_chemo_tumor_divisions,s480_cumulative_chemo_tumor_deaths,s480_tumor_radius,s480_tumor_rms_spread,s480_jnkp_rim_fraction,s480_active_macrophage_ec_colocalization,s960_jnkp_tumor_count,s960_jnkn_tumor_count,s960_active_ec_count,s960_inactive_ec_count,s960_active_macrophage_count,s960_inactive_macrophage_count,s960_active_fibroblast_count,s960_inactive_fibroblast_count,s960_total_population,s960_cumulative_tumor_divisions,s960_cumulative_tumor_deaths,s960_cumulative_fibroblast_divisions,s960_cumulative_fibroblast_deaths,s960_cumulative_macrophage_divisions,s960_cumulative_macrophage_deaths,s960_cumulative_ec_divisions,s960_cumulative_ec_deaths,s960_cumulative_chemo_tumor_divisions,s960_cumulative_chemo_tumor_deaths,s960_tumor_radius,s960_tumor_rms_spread,s960_jnkp_rim_fraction,s960_active_macrophage_ec_colocalization,s1440_jnkp_tumor_count,s1440_jnkn_tumor_count,s1440_active_ec_count,s1440_inactive_ec_count,s1440_active_macrophage_count,s1440_inactive_macrophage_count,s1440_active_fibroblast_count,s1440_inactive_fibroblast_count,s1440_total_population,s1440_cumulative_tumor_divisions,s1440_cumulative_tumor_deaths,s1440_cumulative_fibroblast_divisions,s1440_cumulative_fibroblast_deaths,s1440_cumulative_macrophage_divisions,s1440_cumulative_macrophage_deaths,s1440_cumulative_ec_divisions,s1440_cumulative_ec_deaths,s1440_cumulative_chemo_tumor_divisions,s1440_cumulative_chemo_tumor_deaths,s1440_tumor_radius,s1440_tumor_rms_spread,s1440_jnkp_rim_fraction,s1440_active_macrophage_ec_colocalization,s2100_jnkp_tumor_count,s2100_jnkn_tumor_count,s2100_active_ec_count,s2100_inactive_ec_count,s2100_active_macrophage_count,s2100_inactive_macrophage_count,s2100_active_fibroblast_count,s2100_inactive_fibroblast_count,s2100_total_population,s2100_cumulative_tumor_divisions,s2100_cumulative_tumor_deaths,s2100_cumulative_fibroblast_divisions,s2100_cumulative_fibroblast_deaths,s2100_cumulative_macrophage_divisions,s2100_cumulative_macrophage_deaths,s2100_cumulative_ec_divisions,s2100_cumulative_ec_deaths,s2100_cumulative_chemo_tumor_divisions,s2100_cumulative_chemo_tumor_deaths,s2100_tumor_radius,s2100_tumor_rms_spread,s2100_jnkp_rim_fraction,s2100_active_macrophage_ec_colocalization
"T0000_S000_R000","T0000_S000",0,0,0,-6455802252701332792,"",0,5094,false,"FINITE","","","",0.00393001542798,0.0100475457260,0.0630957344480,0.0603417633655,0.0209648135631,0.00229739670999,0.800000000000,0,0.0500000000000,0.0220000000000,0.0680000000000,0.0263901582155,0.160000000000,1.99053585277,0,1.25594321575,0.300000000000,0.0600000000000,0.00800000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.0300000000000,0.0151948705234,0.400000000000,0.00398107170553,0.0200000000000,0.00100000000000,0.0400000000000,0.000500000000000,0.0160000000000,0.00131950791077,0.0263901582155,15,5.50000000000,3.10000000000,5.50000000000,2.50000000000,3.10000000000,8,6,648,1593,26,15,11,0,237,0,648,0,142,1053,0,0,0,0,0,0,0,0,0,0,7.98528602490,5.75498240529,1,,102,123,211,44,1272,488,457,1040,3737,694,495,1711,356,4451,3339,255,237,0,0,32.2103585823,15.3166401886,1,0.439465408805,103,102,493,249,2835,382,816,2021,7001,1333,1154,4150,1455,21892,19323,1177,672,0,0,37.1048212135,14.9805743737,1,0.400352733686,134,134,620,558,2613,279,1389,2494,8221,2106,1864,6746,3005,42647,40403,2647,1706,0,0,37.6503204219,16.6586116553,1,0.368924607731,,,,,,,,,,,,,,,,,,,,,,,
"T0000_S001_R000","T0000_S001",0,1,0,-6455802252701332792,"divProbFP",0.600000000000,4381,false,"FINITE","","","",0.00393001542798,0.0100475457260,0.0630957344480,0.0603417633655,0.0209648135631,0.00229739670999,0.800000000000,0,0.0500000000000,0.0340000000000,0.0680000000000,0.0263901582155,0.160000000000,1.99053585277,0,1.25594321575,0.300000000000,0.0600000000000,0.00800000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.0300000000000,0.0151948705234,0.400000000000,0.00398107170553,0.0200000000000,0.00100000000000,0.0400000000000,0.000500000000000,0.0160000000000,0.00131950791077,0.0263901582155,15,5.50000000000,3.10000000000,5.50000000000,2.50000000000,3.10000000000,8,6,648,1593,26,15,11,0,237,0,648,0,142,1053,0,0,0,0,0,0,0,0,0,0,7.98528602490,5.75498240529,1,,58,76,138,28,935,569,440,1060,3304,440,332,1729,371,3453,2597,164,235,0,0,34.6907389854,14.6758640923,1,0.501604278075,40,50,352,164,2674,479,892,2091,6742,767,703,4313,1472,19078,16573,820,541,0,0,38.0597353747,16.7089759274,1,0.281974569933,40,33,490,311,2908,355,1460,2673,8270,1005,958,7187,3196,40820,38205,1775,1211,0,0,23.9401894373,14.5918512954,1,0.248968363136,,,,,,,,,,,,,,,,,,,,,,,
"T0000_S002_R000","T0000_S002",0,2,0,-6455802252701332792,"dieProbMP",-0.600000000000,4346,false,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",0.00393001542798,0.0100475457260,0.0630957344480,0.0603417633655,0.0209648135631,0.00229739670999,0.800000000000,0,0.0500000000000,0.0340000000000,0.0680000000000,0.0263901582155,0.160000000000,1.99053585277,0,1.25594321575,0.300000000000,0.0600000000000,0.00800000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.0300000000000,0.00197435048583,0.400000000000,0.00398107170553,0.0200000000000,0.00100000000000,0.0400000000000,0.000500000000000,0.0160000000000,0.00131950791077,0.0263901582155,15,5.50000000000,3.10000000000,5.50000000000,2.50000000000,3.10000000000,8,6,648,1593,26,15,11,0,237,0,648,0,142,1053,0,0,0,0,0,0,0,0,0,0,7.98528602490,5.75498240529,1,,6,2,167,19,3379,535,198,1000,5306,110,128,1347,291,4806,1540,164,215,0,0,10.1280859495,6.20861296909,1,0.455460195324,0,0,235,0,6553,406,228,1273,8695,111,137,2339,980,13053,6742,339,341,0,0,,,,0.324736761788,0,0,259,0,7109,265,260,1129,9022,111,137,2930,1683,20093,13367,481,459,0,0,,,,0.310170206780,,,,,,,,,,,,,,,,,,,,,,,
"T0000_S003_R000","T0000_S003",0,3,0,-6455802252701332792,"lambdaStress",0.600000000000,4497,false,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",0.00393001542798,0.0100475457260,0.0630957344480,0.0603417633655,0.0209648135631,0.00229739670999,0.800000000000,0,0.0500000000000,0.0340000000000,0.0680000000000,0.0263901582155,0.160000000000,1.99053585277,0,5.00000000000,0.300000000000,0.0600000000000,0.00800000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.0300000000000,0.00197435048583,0.400000000000,0.00398107170553,0.0200000000000,0.00100000000000,0.0400000000000,0.000500000000000,0.0160000000000,0.00131950791077,0.0263901582155,15,5.50000000000,3.10000000000,5.50000000000,2.50000000000,3.10000000000,8,6,648,1593,26,15,11,0,237,0,648,0,142,1053,0,0,0,0,0,0,0,0,0,0,7.98528602490,5.75498240529,1,,6,2,167,19,3379,535,198,1000,5306,110,128,1347,291,4806,1540,164,215,0,0,10.1280859495,6.20861296909,1,0.455460195324,0,0,235,0,6553,406,228,1273,8695,111,137,2339,980,13053,6742,339,341,0,0,,,,0.324736761788,0,0,259,0,7109,265,260,1129,9022,111,137,2930,1683,20093,13367,481,459,0,0,,,,0.310170206780,,,,,,,,,,,,,,,,,,,,,,,
"T0000_S004_R000","T0000_S004",0,4,0,-6455802252701332792,"macrophageInteractionRadius",0.600000000000,8351,false,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",0.00393001542798,0.0100475457260,0.0630957344480,0.0603417633655,0.0209648135631,0.00229739670999,0.800000000000,0,0.0500000000000,0.0340000000000,0.0680000000000,0.0263901582155,0.160000000000,1.99053585277,0,5.00000000000,0.300000000000,0.0600000000000,0.00800000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.0300000000000,0.00197435048583,0.400000000000,0.00398107170553,0.0200000000000,0.00100000000000,0.0400000000000,0.000500000000000,0.0160000000000,0.00131950791077,0.0263901582155,15,5.50000000000,5.50000000000,5.50000000000,2.50000000000,3.10000000000,8,6,648,1593,26,15,11,0,237,0,648,0,142,1053,0,0,0,0,0,0,0,0,0,0,7.98528602490,5.75498240529,1,,4,8,247,12,3737,534,143,845,5530,103,117,1123,277,5333,1710,259,237,0,0,10.7059822322,5.24073256118,1,0.614931763447,0,1,293,1,6973,345,169,1045,8827,105,130,1921,849,14296,7626,472,415,0,0,0,0,,0.398537214972,0,0,347,0,7323,237,172,936,9015,105,131,2362,1396,21364,14452,684,574,0,0,,,,0.387136419500,,,,,,,,,,,,,,,,,,,,,,,
"T0000_S005_R000","T0000_S005",0,5,0,-6455802252701332792,"tumorEndothelialRadius",-0.600000000000,8308,false,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",0.00393001542798,0.0100475457260,0.0630957344480,0.0603417633655,0.0209648135631,0.00229739670999,0.800000000000,0,0.0500000000000,0.0340000000000,0.0680000000000,0.0263901582155,0.160000000000,1.99053585277,0,5.00000000000,0.300000000000,0.0600000000000,0.00800000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.0300000000000,0.00197435048583,0.400000000000,0.00398107170553,0.0200000000000,0.00100000000000,0.0400000000000,0.000500000000000,0.0160000000000,0.00131950791077,0.0263901582155,15,3.10000000000,5.50000000000,5.50000000000,2.50000000000,3.10000000000,8,6,648,1593,26,15,11,0,237,0,648,0,142,1053,0,0,0,0,0,0,0,0,0,0,7.98528602490,5.75498240529,1,,4,8,247,12,3737,534,143,845,5530,103,117,1123,277,5333,1710,259,237,0,0,10.7059822322,5.24073256118,1,0.614931763447,0,1,293,1,6973,345,169,1045,8827,105,130,1921,849,14296,7626,472,415,0,0,0,0,,0.398537214972,0,0,347,0,7323,237,172,936,9015,105,131,2362,1396,21364,14452,684,574,0,0,,,,0.387136419500,,,,,,,,,,,,,,,,,,,,,,,
"T0000_S006_R000","T0000_S006",0,6,0,-6455802252701332792,"migrProbP",-0.600000000000,8272,false,"FINITE","","","",0.00393001542798,0.0100475457260,0.0630957344480,0.0603417633655,0.0209648135631,0.00229739670999,0.800000000000,0,0.0500000000000,0.0340000000000,0.0680000000000,0.0263901582155,0.160000000000,1.99053585277,0,5.00000000000,0.120000000000,0.0600000000000,0.00800000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.0300000000000,0.00197435048583,0.400000000000,0.00398107170553,0.0200000000000,0.00100000000000,0.0400000000000,0.000500000000000,0.0160000000000,0.00131950791077,0.0263901582155,15,3.10000000000,5.50000000000,5.50000000000,2.50000000000,3.10000000000,8,6,648,1593,26,15,11,0,237,0,648,0,142,1053,0,0,0,0,0,0,0,0,0,0,7.98528602490,5.75498240529,1,,14,5,219,13,3852,542,184,890,5719,93,100,1241,309,5475,1729,208,213,0,0,9.04283435575,6.33418374035,1,0.535306334372,4,2,277,0,6902,380,206,1127,8898,102,122,2106,915,14213,7579,380,340,0,0,5.83571380000,4.92724849970,1,0.367139959432,0,1,323,1,7287,254,208,1036,9110,103,128,2618,1516,21144,14251,570,483,0,0,0,0,,0.374502538768,,,,,,,,,,,,,,,,,,,,,,,
"T0000_S007_R000","T0000_S007",0,7,0,-6455802252701332792,"migrProbN",-0.600000000000,8081,false,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",0.00393001542798,0.0100475457260,0.0630957344480,0.0603417633655,0.0209648135631,0.00229739670999,0.800000000000,0,0.0500000000000,0.0340000000000,0.0680000000000,0.0263901582155,0.160000000000,1.99053585277,0,5.00000000000,0.120000000000,0,0.00800000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.0300000000000,0.00197435048583,0.400000000000,0.00398107170553,0.0200000000000,0.00100000000000,0.0400000000000,0.000500000000000,0.0160000000000,0.00131950791077,0.0263901582155,15,3.10000000000,5.50000000000,5.50000000000,2.50000000000,3.10000000000,8,6,648,1593,26,15,11,0,237,0,648,0,142,1053,0,0,0,0,0,0,0,0,0,0,7.98528602490,5.75498240529,1,,1,1,208,10,3861,586,119,834,5620,76,100,1094,283,5545,1746,179,198,0,0,1.11803398875,1.11803398875,1,0.532245532246,0,0,298,1,6989,389,139,1039,8855,76,102,1857,821,14553,7823,379,317,0,0,,,,0.392473887538,0,0,337,0,7464,253,146,868,9068,76,102,2217,1345,21775,14706,568,468,0,0,,,,0.402867095391,,,,,,,,,,,,,,,,,,,,,,,
"T0000_S008_R000","T0000_S008",0,8,0,-6455802252701332792,"migrProbM",0.600000000000,8608,false,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",0.00393001542798,0.0100475457260,0.0630957344480,0.0603417633655,0.0209648135631,0.00229739670999,0.800000000000,0,0.0500000000000,0.0340000000000,0.0680000000000,0.0263901582155,0.160000000000,1.99053585277,0,5.00000000000,0.120000000000,0,0.00800000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.0300000000000,0.00197435048583,0.850000000000,0.00398107170553,0.0200000000000,0.00100000000000,0.0400000000000,0.000500000000000,0.0160000000000,0.00131950791077,0.0263901582155,15,3.10000000000,5.50000000000,5.50000000000,2.50000000000,3.10000000000,8,6,648,1593,26,15,11,0,237,0,648,0,142,1053,0,0,0,0,0,0,0,0,0,0,7.98528602490,5.75498240529,1,,9,8,273,5,5177,471,151,778,6872,130,139,1102,315,7196,2196,270,229,0,0,12.9756226058,6.95263261981,1,0.431910372803,4,1,299,0,7230,330,187,783,8834,141,162,1624,796,15623,8711,447,385,0,0,9.61873172513,4.94772675074,1,0.360027662517,0,0,347,5,7594,213,207,680,9046,142,168,1949,1204,23079,15920,648,533,0,0,,,,0.358309191467,,,,,,,,,,,,,,,,,,,,,,,
"T0000_S009_R000","T0000_S009",0,9,0,-6455802252701332792,"dieProbEP",0.600000000000,8606,false,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",0.00393001542798,0.0100475457260,0.0630957344480,0.0603417633655,0.0209648135631,0.00229739670999,0.800000000000,0,0.0500000000000,0.0340000000000,0.0680000000000,0.0263901582155,0.160000000000,1.99053585277,0,5.00000000000,0.120000000000,0,0.00800000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.0300000000000,0.00197435048583,0.850000000000,0.00398107170553,0.0200000000000,0.00603417633655,0.0400000000000,0.000500000000000,0.0160000000000,0.00131950791077,0.0263901582155,15,3.10000000000,5.50000000000,5.50000000000,2.50000000000,3.10000000000,8,6,648,1593,26,15,11,0,237,0,648,0,142,1053,0,0,0,0,0,0,0,0,0,0,7.98528602490,5.75498240529,1,,7,9,82,1,5484,488,159,724,6954,143,153,1029,288,7531,2207,236,390,0,0,10.5684155033,6.04119969460,1,0.332603938731,0,0,12,0,7637,327,179,676,8831,149,175,1460,747,16559,9243,273,498,0,0,,,,0.0635066125442,0,0,4,0,8109,206,190,558,9067,149,175,1758,1152,24367,16700,280,513,0,0,,,,0.0236773954865,,,,,,,,,,,,,,,,,,,,,,,
